Audit_ID,Department,Audit_Finding,Risk_Level,Audit_Date,Auditor_Name
1,Operations,Non-compliance,Medium,2022-03-23,Bob Smith
2,Finance,Fraudulent Activity,Medium,2022-09-05,Carol Lee
3,HR,Non-compliance,High,2022-09-03,David Kim
4,Operations,Non-compliance,Medium,2022-03-27,David Kim
5,IT,Control Weakness,High,2022-11-05,Alice Johnson
6,IT,Non-compliance,Low,2022-11-16,Alice Johnson
7,Operations,Fraudulent Activity,Medium,2022-08-26,Carol Lee
8,HR,Control Weakness,High,2022-11-16,Carol Lee
9,Operations,Fraudulent Activity,Low,2022-01-05,Bob Smith
10,Marketing,Non-compliance,High,2022-06-25,Carol Lee
11,HR,Non-compliance,High,2022-02-11,Carol Lee
12,HR,Control Weakness,Medium,2022-08-07,Eva Brown
13,HR,Control Weakness,Medium,2022-09-03,Carol Lee
14,HR,Fraudulent Activity,Low,2022-08-06,Carol Lee
15,HR,Fraudulent Activity,Low,2022-10-28,Carol Lee
16,Marketing,Fraudulent Activity,High,2022-03-12,Carol Lee
17,HR,Non-compliance,Medium,2022-11-10,David Kim
18,Finance,Fraudulent Activity,Low,2022-09-01,Eva Brown
19,Marketing,Non-compliance,High,2022-11-12,Bob Smith
20,Marketing,Non-compliance,Medium,2022-07-04,Alice Johnson
21,HR,Non-compliance,Low,2022-07-19,David Kim
22,Marketing,Fraudulent Activity,Medium,2022-10-01,Bob Smith
23,Finance,Control Weakness,High,2022-04-10,David Kim
24,Finance,Fraudulent Activity,Low,2022-04-05,Bob Smith
25,Finance,Control Weakness,Medium,2022-03-25,Alice Johnson
26,Finance,Control Weakness,High,2022-09-17,Eva Brown
27,Marketing,Control Weakness,High,2022-11-10,David Kim
28,Finance,Fraudulent Activity,High,2022-08-03,Eva Brown
29,Marketing,Control Weakness,High,2022-08-08,Eva Brown
30,Finance,Fraudulent Activity,Low,2022-05-08,Bob Smith
31,Finance,Fraudulent Activity,Medium,2022-05-12,Bob Smith
32,Marketing,Fraudulent Activity,High,2022-12-31,Carol Lee
33,Operations,Fraudulent Activity,Low,2022-05-16,Bob Smith
34,IT,Fraudulent Activity,Low,2022-04-28,David Kim
35,Operations,Fraudulent Activity,Low,2022-11-24,Bob Smith
36,Operations,Fraudulent Activity,Low,2022-03-02,David Kim
37,Marketing,Control Weakness,Low,2022-10-13,Bob Smith
38,Finance,Non-compliance,High,2022-01-07,Alice Johnson
39,Marketing,Control Weakness,High,2022-04-22,David Kim
40,HR,Non-compliance,Low,2022-08-19,Eva Brown
41,Marketing,Control Weakness,Medium,2022-02-06,Eva Brown
42,IT,Control Weakness,High,2022-12-09,Bob Smith
43,Operations,Fraudulent Activity,Low,2022-04-25,Bob Smith
44,Marketing,Fraudulent Activity,High,2022-01-18,Eva Brown
45,Finance,Fraudulent Activity,High,2022-08-24,David Kim
46,Finance,Non-compliance,Medium,2022-12-24,David Kim
47,IT,Non-compliance,Low,2022-07-24,David Kim
48,IT,Non-compliance,Medium,2022-10-29,Alice Johnson
49,Marketing,Fraudulent Activity,High,2022-07-06,Bob Smith
50,HR,Control Weakness,High,2022-12-27,Alice Johnson
51,IT,Non-compliance,Low,2022-03-05,Bob Smith
52,HR,Non-compliance,Low,2022-09-20,David Kim
53,Marketing,Fraudulent Activity,High,2022-03-01,Alice Johnson
54,Operations,Control Weakness,Low,2022-05-12,Carol Lee
55,IT,Control Weakness,Low,2022-02-14,David Kim
56,Marketing,Non-compliance,Medium,2022-08-17,Bob Smith
57,HR,Control Weakness,Medium,2022-12-05,David Kim
58,Operations,Non-compliance,Low,2022-07-10,Eva Brown
59,IT,Non-compliance,Medium,2022-08-05,Eva Brown
